,place,movie_title,rating,year,star_cast
87,88,Capharnaüm,8.266955135816408,2018,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw"
88,89,Star Wars: Episode VI - Return of the Jedi,8.264168335579752,1983,"Richard Marquand (dir.), Mark Hamill, Harrison Ford"
89,90,2001: A Space Odyssey,8.261844155586878,1968,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood"
90,91,Eternal Sunshine of the Spotless Mind,8.261806992977338,2004,"Michel Gondry (dir.), Jim Carrey, Kate Winslet"
91,92,Reservoir Dogs,8.259117074063285,1992,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth"
92,93,Idi i smotri,8.258517358005541,1985,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova"
93,94,Jagten,8.257261933421079,2012,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen"
94,95,Citizen Kane,8.250366816098067,1941,"Orson Welles (dir.), Orson Welles, Joseph Cotten"
95,96,M - Eine Stadt sucht einen Mörder,8.25006133277966,1931,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann"
96,97,Lawrence of Arabia,8.249800146674065,1962,"David Lean (dir.), Peter O'Toole, Alec Guinness"
97,98,North by Northwest,8.245867031707999,1959,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint"
98,99,Ikiru,8.24319654414372,1952,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko"
99,10, Vertigo,8.242743416459271,1958,"Alfred Hitchcock (dir.), James Stewart, Kim Novak"
100,101,The Apartment,8.241950112864261,1960,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine"
101,102,Le fabuleux destin d'Amélie Poulain,8.241336847509329,2001,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz"
102,103,A Clockwork Orange,8.23880579130274,1971,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee"
103,104,Double Indemnity,8.237812215545052,1944,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck"
104,105,Full Metal Jacket,8.237060393213925,1987,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey"
105,106,Scarface,8.234692632219973,1983,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer"
106,107,Hamilton,8.23298800762248,2020,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo"
107,108,Incendies,8.226793246220874,2010,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin"
108,109,Top Gun: Maverick,8.225915026795022,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
